id,lat,lng,name,area
001_05,6.257592641464586,-75.61103889727721,,377
002_05,5.803728971611896,-75.43847448767818,,510
004_05,6.627547179784441,-76.08597760448505,,299
021_05,6.365534124531456,-75.09059702207428,,130
030_05,6.03292173612482,-75.70800317947769,,85
031_05,6.97769019480999,-74.98127298210112,,1219
034_05,5.623951264764598,-75.92459670721371,,404
036_05,6.121430302416073,-75.71594966263253,,82
038_05,6.861500288525776,-75.35827277885366,,341
040_05,7.193110409714413,-75.10848961944873,,1426
042_05,6.535684645833721,-75.90410742996069,,530
044_05,6.308040259081841,-75.912590871055,,257
045_05,7.89613789228522,-76.56695126924149,,540
051_05,8.611388683613644,-76.41478327261788,,762
055_05,5.708114524298182,-75.09469795424248,,247
059_05,6.1636837576186965,-75.80995528134915,,111
079_05,6.443422910706954,-75.32922996170242,,207
086_05,6.653662775171179,-75.65385119887763,,298
088_05,6.35888517793328,-75.58977333222107,,149
091_05,5.727080814149553,-75.98689129603011,,181
093_05,6.185783611740526,-75.9564924625905,,264
101_05,5.840844862187251,-76.00937339565067,,265
107_05,7.111788461275065,-75.56223473759351,,379
113_05,6.809030958937557,-75.91206328587988,,358
120_05,7.665303477917075,-75.22368535199455,,1892
125_05,6.423463638750912,-75.99351498046983,,201
129_05,6.05444684092057,-75.62642674313436,,134
134_05,7.035429472327752,-75.29224951781944,,234
138_05,6.814950022518442,-76.02689632024202,,367
142_05,6.33797387997167,-74.73354817280826,,265
145_05,5.555275295489637,-75.63082096373046,,93
147_05,7.789166123693096,-76.65668193943627,,390
148_05,5.978083681719095,-75.26353670499019,,426
150_05,6.754821441842319,-75.3059065393028,,151
154_05,7.867885421885927,-75.03490543227947,,1442
172_05,7.6316656436916706,-76.63964212663159,,727
190_05,6.550081148327249,-75.08253096483328,,47
197_05,6.005593455998757,-75.16015118656419,,243
206_05,6.376106186635344,-75.21785901368773,,203
209_05,6.057468678170261,-75.9001467835068,,249
212_05,6.351831970211945,-75.50077532747282,,68
234_05,6.992243781882163,-76.31426328411237,,1970
237_05,6.505410502312285,-75.36682887939003,,205
240_05,6.326455152874364,-75.7833109904573,,239
250_05,7.704633350865812,-74.66427726340392,,1575
264_05,6.594656003370073,-75.5591308331346,,216
266_05,6.153575539747901,-75.54489799548895,,84
282_05,5.887884056937293,-75.67932679786796,,259
284_05,6.691366679891526,-76.33198553930805,,1393
306_05,6.6630847148485115,-75.9480768854576,,94
308_05,6.379753559436678,-75.44794163441448,,83
310_05,6.709562838969754,-75.19270291201234,,335
313_05,6.123380720799068,-75.12763646279625,,191
315_05,6.861575642392779,-75.22591386560606,,119
318_05,6.2666189093538245,-75.4373168802848,,153
321_05,6.245775609334043,-75.1585189235877,,84
347_05,6.214525617801694,-75.74972209609233,,116
353_05,5.79506311390618,-75.90651016009791,,54
360_05,6.179279438047212,-75.61420369859377,,20
361_05,7.302946258917234,-75.85035105649516,,2864
364_05,5.574455406903942,-75.81843366805498,,202
368_05,5.769820535792505,-75.76488255592803,,206
376_05,5.992526917910064,-75.43086781226468,,133
380_05,6.13759721956629,-75.64895149324045,,37
390_05,5.746658098448124,-75.6023959587087,,55
