id,lat,lng,name,area
60000184_6140001,12.493750000000034,-70.01041666666652,60000184,1215
60000185_6140001,12.477083333333326,-69.9854166666666,60000185,1215
60000186_6130157,12.443750000000136,-71.63124999999985,60000186,5016
60000189_6130157,12.431250000000091,-71.51458333333323,60000189,5016
60000196_6130157,12.443750000000136,-71.57291666666652,60000196,5016
60000200_6130157,12.381250000000023,-71.3979166666665,60000200,5016
60000201_6140001,12.364583333333314,-69.10208333333316,60000201,1215
60000204_6130157,12.385416666666856,-71.44374999999985,60000204,5016
60000206_6130157,12.331250000000125,-71.75208333333319,60000206,5016
60000207_6130157,12.31875000000008,-71.61458333333316,60000207,5016
60000185_6140025,5.187962,-74.483156,Utica_MainBridge,1342
60000186_6140026,5.193215,-74.481732,RioNegro_UpstreamEntry,927
60000187_6140027,5.189882,-74.477550,RioNegro_DownstreamExit,1038
60000188_6140028,5.196274,-74.484774,Cuaca_ConfluencePoint,867
60000189_6140029,5.183621,-74.480218,RioNegro_RapidZone,1195
60000190_6140030,5.181004,-74.479013,Utica_RiverBendSouth,1012
60000191_6140031,5.186182,-74.488457,BridgeToLaTigrera,980
60000192_6140032,5.199234,-74.487590,Cuaca_UpperFlow,1086
60000193_6140033,5.190430,-74.472012,RioNegro_NaturalPool,943
60000194_6140034,5.185721,-74.490943,Utica_RiverParkArea,1124
