id,lat,lng,name,area_reported,area_calc,result,perc_diff,snap_dist,lat_snap,lng_snap
60000184_6140001,12.493750000000034,-70.01041666666652,60000184,1215,0.0,failed,0,,,
60000185_6140001,12.477083333333326,-69.9854166666666,60000185,1215,0.0,failed,0,,,
60000186_6130157,12.443750000000136,-71.63124999999985,60000186,5016,0.0,failed,0,,,
60000189_6130157,12.431250000000093,-71.51458333333323,60000189,5016,0.0,failed,0,,,
60000196_6130157,12.443750000000136,-71.57291666666652,60000196,5016,0.0,failed,0,,,
60000200_6130157,12.381250000000025,-71.3979166666665,60000200,5016,0.0,failed,0,,,
60000201_6140001,12.364583333333314,-69.10208333333316,60000201,1215,0.0,failed,0,,,
60000204_6130157,12.385416666666856,-71.44374999999985,60000204,5016,0.0,failed,0,,,
60000206_6130157,12.331250000000123,-71.75208333333319,60000206,5016,161.0,low res,-97,350.0,12.334,-71.753
60000207_6130157,12.31875000000008,-71.61458333333316,60000207,5016,103.0,low res,-98,6700.0,12.377,-71.632
60000185_6140025,5.187962,-74.483156,Utica_MainBridge,1342,71.3,low res,-95,770.0,5.194,-74.48
60000186_6140026,5.193215,-74.481732,RioNegro_UpstreamEntry,927,71.3,low res,-92,220.0,5.194,-74.48
60000187_6140027,5.189882,-74.47755,RioNegro_DownstreamExit,1038,2080.0,low res,100,550.0,5.194,-74.48
60000188_6140028,5.196274,-74.484774,Cuaca_ConfluencePoint,867,2250.0,low res,160,2400.0,5.203,-74.506
60000189_6140029,5.183621,-74.480218,RioNegro_RapidZone,1195,2080.0,low res,74,1200.0,5.194,-74.48
60000190_6140030,5.181004,-74.479013,Utica_RiverBendSouth,1012,2080.0,low res,110,1500.0,5.194,-74.48
60000191_6140031,5.186182,-74.488457,BridgeToLaTigrera,980,71.3,low res,-93,1300.0,5.194,-74.48
60000192_6140032,5.199234,-74.48759,Cuaca_UpperFlow,1086,2250.0,low res,110,2100.0,5.203,-74.506
60000193_6140033,5.19043,-74.472012,RioNegro_NaturalPool,943,84.6,low res,-91,1100.0,5.197,-74.48
60000194_6140034,5.185721,-74.490943,Utica_RiverParkArea,1124,71.3,low res,-94,1500.0,5.194,-74.48
